id,2020,2021,2022,2023,2024
70536,C,C,C,C,C
70568,C,C,C,C,C
70572,-,C,C,C,-
71027,C,C,N,C,C
71032,C,C,C,C,C
71035,C,C,C,C,C
71037,C,C,C,C,C
71090,C,C,C,C,C
71091,C,-,C,-,C
71097,C,C,C,C,C
71163,C,C,C,C,C
71164,C,C,C,C,C
71181,C,C,C,C,C
71249,C,C,C,C,C
71273,C,C,C,C,C
71301,C,C,C,C,C
71368,C,C,C,C,C
71438,C,C,C,C,C
71477,C,C,C,C,C
71484,C,N,N,C,N
71534,C,C,N,C,C
71545,C,C,C,C,C
71549,C,C,C,C,C
71554,C,C,C,C,C
72056,C,C,C,C,C
72122,C,C,C,C,C
72149,C,C,C,C,C
72156,C,C,C,C,C
72171,-,C,C,N,C
72172,C,C,C,C,C
72190,C,C,C,C,C
72221,C,C,C,C,C
72228,C,C,C,N,C
72236,C,C,C,C,C
72254,C,C,C,C,C
72280,C,C,N,C,C
72294,C,C,C,C,C
72334,C,C,C,C,C
72336,C,C,C,C,C
72349,C,C,C,C,C
72357,N,C,C,C,C
72376,C,C,C,C,C
72386,C,C,N,C,C
73052,-,-,-,-,C
73065,C,C,C,C,C
73069,C,C,C,C,C
73109,C,C,C,C,C
73132,C,C,C,C,C
73138,C,C,C,C,C
73147,-,C,-,C,-
73152,-,C,-,-,C
73176,C,C,C,C,C
73226,C,C,C,C,C
73249,C,C,C,C,C
73265,C,C,C,C,C
73273,-,-,C,-,C
73297,C,C,C,C,C
74073,-,C,-,C,C
74078,-,C,C,-,-
74094,C,C,C,C,C
74103,C,C,C,C,C
74119,C,C,C,C,C
74124,C,C,C,C,-
74201,C,C,C,C,C
74202,C,C,C,C,C
74211,C,C,C,C,C
74242,C,C,C,C,C
